city,state_id,state_name,country
Highlands Ranch,CO,Colorado,United States
Kingsport,TN,Tennessee,United States
San Tan Valley,AZ,Arizona,United States
Quincy,MA,Massachusetts,United States
Edinburg,TX,Texas,United States
Lynn,MA,Massachusetts,United States
San Angelo,TX,Texas,United States
Hesperia,CA,California,United States
Bowling Green,KY,Kentucky,United States
Federal Way,WA,Washington,United States
Carmel,IN,Indiana,United States
Bismarck,ND,North Dakota,United States
Fishers,IN,Indiana,United States
Lafayette,CO,Colorado,United States
Vista,CA,California,United States
Boca Raton,FL,Florida,United States
St. Augustine,FL,Florida,United States
Beaverton,OR,Oregon,United States
Goodyear,AZ,Arizona,United States
Portsmouth,VA,Virginia,United States
Orem,UT,Utah,United States
Sunrise,FL,Florida,United States
Portsmouth,NH,New Hampshire,United States
Arden-Arcade,CA,California,United States
Lawrence,KS,Kansas,United States
Sandy,UT,Utah,United States
Slidell,LA,Louisiana,United States
Buckeye,AZ,Arizona,United States
Livonia,MI,Michigan,United States
Williamsburg,VA,Virginia,United States
Suffolk,VA,Virginia,United States
Compton,CA,California,United States
La Crosse,WI,Wisconsin,United States
Edmond,OK,Oklahoma,United States
Carson,CA,California,United States
San Marcos,CA,California,United States
Tracy,CA,California,United States
Prescott Valley,AZ,Arizona,United States
Middletown,OH,Ohio,United States
Fall River,MA,Massachusetts,United States
San Germán,PR,Puerto Rico,United States
Santa Fe,NM,New Mexico,United States
Plantation,FL,Florida,United States
Mayagüez,PR,Puerto Rico,United States
New Braunfels,TX,Texas,United States
Roswell,GA,Georgia,United States
Conroe,TX,Texas,United States
South Gate,CA,California,United States
Santa Monica,CA,California,United States
Kirkland,WA,Washington,United States
Hoover,AL,Alabama,United States
O'Fallon,MO,Missouri,United States
Alafaya,FL,Florida,United States
Palm Coast,FL,Florida,United States
Norwalk,CT,Connecticut,United States
Lawton,OK,Oklahoma,United States
Chino,CA,California,United States
Mount Pleasant,SC,South Carolina,United States
Manteca,CA,California,United States
Westminster,CA,California,United States
Florence,SC,South Carolina,United States
Joplin,MO,Missouri,United States
Germantown,MD,Maryland,United States
San Leandro,CA,California,United States
Town 'n' Country,FL,Florida,United States
Clifton,NJ,New Jersey,United States
Waukegan,IL,Illinois,United States
Bloomington,MN,Minnesota,United States
Avondale,AZ,Arizona,United States
Atascocita,TX,Texas,United States
Missoula,MT,Montana,United States
Fort Myers,FL,Florida,United States
Newton,MA,Massachusetts,United States
Lawrence,MA,Massachusetts,United States
Muncie,IN,Indiana,United States
